K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Test 165, loss: 0.914760, test acc: 0.775000, test avg acc: 0.758333
Train 166, loss: 0.874479, train acc: 0.860000, train avg acc: 0.863023
Test 166, loss: 0.914401, test acc: 0.800000, test avg acc: 0.786111
Train 167, loss: 0.862705, train acc: 0.880000, train avg acc: 0.882479
Test 167, loss: 0.916491, test acc: 0.775000, test avg acc: 0.761111
Train 168, loss: 0.893477, train acc: 0.833333, train avg acc: 0.836279
Test 168, loss: 0.922853, test acc: 0.775000, test avg acc: 0.761111
Train 169, loss: 0.883161, train acc: 0.880000, train avg acc: 0.883333
Test 169, loss: 0.922595, test acc: 0.775000, test avg acc: 0.758333
Train 170, loss: 0.873974, train acc: 0.913333, train avg acc: 0.917105
Test 170, loss: 0.917422, test acc: 0.775000, test avg acc: 0.758333
Train 171, loss: 0.868060, train acc: 0.873333, train avg acc: 0.871345
Test 171, loss: 0.917530, test acc: 0.750000, test avg acc: 0.738889
Train 172, loss: 0.876098, train acc: 0.886667, train avg acc: 0.891026
Test 172, loss: 0.912579, test acc: 0.725000, test avg acc: 0.711111
Train 173, loss: 0.884287, train acc: 0.873333, train avg acc: 0.871799
Test 173, loss: 0.911111, test acc: 0.775000, test avg acc: 0.758333
Train 174, loss: 0.866515, train acc: 0.880000, train avg acc: 0.882883
Test 174, loss: 0.913384, test acc: 0.775000, test avg acc: 0.758333
Train 175, loss: 0.864518, train acc: 0.880000, train avg acc: 0.886009
Test 175, loss: 0.914099, test acc: 0.775000, test avg acc: 0.761111
Train 176, loss: 0.866252, train acc: 0.893333, train avg acc: 0.896424
Test 176, loss: 0.915743, test acc: 0.750000, test avg acc: 0.736111
Train 177, loss: 0.856359, train acc: 0.900000, train avg acc: 0.899488
Test 177, loss: 0.920059, test acc: 0.750000, test avg acc: 0.738889
Train 178, loss: 0.855247, train acc: 0.900000, train avg acc: 0.902497
Test 178, loss: 0.917156, test acc: 0.750000, test avg acc: 0.738889
Train 179, loss: 0.871972, train acc: 0.866667, train avg acc: 0.871795
Test 179, loss: 0.915125, test acc: 0.775000, test avg acc: 0.763889
Train 180, loss: 0.871725, train acc: 0.880000, train avg acc: 0.882883
Test 180, loss: 0.918174, test acc: 0.750000, test avg acc: 0.736111
Train 181, loss: 0.879885, train acc: 0.860000, train avg acc: 0.862256
Test 181, loss: 0.921351, test acc: 0.750000, test avg acc: 0.736111
Train 182, loss: 0.879521, train acc: 0.886667, train avg acc: 0.893045
Test 182, loss: 0.926770, test acc: 0.725000, test avg acc: 0.708333
Train 183, loss: 0.858364, train acc: 0.906667, train avg acc: 0.909217
Test 183, loss: 0.929873, test acc: 0.725000, test avg acc: 0.708333
Train 184, loss: 0.880625, train acc: 0.860000, train avg acc: 0.863889
Test 184, loss: 0.925985, test acc: 0.725000, test avg acc: 0.708333
Train 185, loss: 0.883225, train acc: 0.893333, train avg acc: 0.891560
Test 185, loss: 0.920101, test acc: 0.700000, test avg acc: 0.683333
Train 186, loss: 0.888715, train acc: 0.886667, train avg acc: 0.889001
Test 186, loss: 0.920206, test acc: 0.725000, test avg acc: 0.708333
Train 187, loss: 0.872788, train acc: 0.913333, train avg acc: 0.917105
Test 187, loss: 0.918399, test acc: 0.750000, test avg acc: 0.733333
